country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Thailand,Bang Phae,133,3,3,1,3,1,11,1,133,3,13.6940797,99.927898
Indonesia,Banyuwangi,101,3,3,1,19,1,4,1,101,3,-8.2094973,114.3737201
France,Bar Le Duc,73,2,1,1,49,1,0,1,73,2,48.7712673,5.1623805
Brazil,Barreiras,19,1,0,1,19,1,0,1,18,1,-12.1440031,-44.9967406
China,Beihai,101,3,4,1,41,1,6,1,101,3,21.4845174,109.1165772
India,Bellary,52,2,1,1,24,1,3,1,52,2,15.1433952,76.9193876
India,Belur,57,2,1,1,13,1,3,1,57,2,15.8475579,75.7527795
Croatia,Bjelovar,68,2,1,1,63,2,0,1,68,2,45.8986869,16.8421977
Russia,Bogoroditsk,39,1,1,1,39,1,0,1,21,1,53.773571,38.126965
Brazil,Bom Despacho,37,1,1,1,27,1,0,1,37,1,-19.72246655,-45.262849183910376
Russia,Bor,36,1,1,1,36,1,3,1,30,1,56.3598289,44.0542641
Republic of North Macedonia,Bosilovo,61,2,1,1,46,1,0,1,61,2,41.4410377,22.7280638
Central African Republic,Bouca,63,2,1,1,17,1,0,1,63,2,6.5086131,18.2758627
South Africa,Bredasdorp,44,1,1,1,22,1,1,1,44,1,-34.533055,20.042778
Netherlands,Brummen,38,1,1,1,38,1,0,1,35,1,52.110649800000004,6.1258772929109675
Spain,Calatayud,40,1,0,1,40,1,0,1,10,1,41.3527628,-1.6422977
Italy,Campiglia Marittima,86,2,1,1,86,2,0,1,32,1,43.0606283,10.6154958
Cuba,Cardenas,37,1,0,1,37,1,0,1,23,1,23.03714,-81.2025816
Brazil,Carlos Chagas,26,1,0,1,25,1,0,1,26,1,-17.7030797,-40.7632936
France,Carrieres Sous Poissy,67,2,1,1,44,1,2,1,67,2,48.9437694,2.0341747
Brazil,Cassia,37,1,1,1,24,1,0,1,37,1,-20.5837538,-46.9219923
India,Chalala,95,2,1,1,26,1,1,1,95,2,21.4103193,71.1654783
India,Chamba,92,2,2,1,40,1,1,1,92,2,32.5565043,76.1249971
Cuba,Chambas,47,1,1,1,32,1,0,1,47,1,22.1941241,-78.9114186
China,Changde,150,4,6,1,26,1,19,1,150,4,29.034552,111.6928724
United Republic of Tanzania,Chanika,19,1,0,1,17,1,0,1,19,1,-1.4478632,31.0907913
India,Charkhi Dadri,171,4,4,1,128,3,5,1,171,4,28.5919933,76.2719817
France,Chateau Gontier,47,1,1,1,37,1,0,1,47,1,47.8263058,-0.7066665
France,Chaville,72,2,1,1,43,1,2,1,72,2,48.8086915,2.1883487
Russia,Chelyabinsk 40,39,1,1,1,39,1,1,1,11,1,55.76046,60.705101
India,Cherrapunji,87,2,3,1,12,1,6,1,87,2,25.2777336,91.7292416
Peru,Chicama,44,1,0,1,24,1,0,1,44,1,-7.843424,-79.1451857
Colombia,Circasia,83,2,1,1,19,1,3,1,83,2,0.6694512,-76.465633
United States of America,Citrus Park,81,2,1,1,81,2,2,1,13,1,33.5486504,-112.444329
El Salvador,Ciudad Arce,69,2,1,1,24,1,1,1,69,2,13.8402875,-89.4437598
India,Clement Town,156,4,4,1,25,1,11,1,156,4,30.2613281,78.0120117
United Kingdom of Great Britain and Northern Ireland,Aberdare,40,1,1,1,30,1,1,1,40,1,51.713353,-3.445555
Russia,Achkhoy Martan,46,1,1,1,36,1,2,1,46,1,43.1926252,45.2879291
Italy,Albano Laziale,77,2,1,1,77,2,0,1,31,1,41.7288894,12.6582689
Italy,Anguillara Sabazia,76,2,1,1,76,2,0,1,29,1,42.0837101,12.2830132
United States of America,Apple Valley,64,2,1,1,35,1,4,1,64,2,34.5008311,-117.1858759
Mexico,Ario,35,1,1,1,27,1,0,1,35,1,19.2070222,-101.7092207
Greece,Arta,129,3,1,1,42,1,0,1,129,3,39.1613205,20.986264
Belgium,Asse,52,2,1,1,38,1,2,1,52,2,50.9094333,4.2015646
Japan,Eniwa,45,1,1,1,28,1,6,1,45,1,42.8827386,141.5775731
South Africa,Ermelo,52,2,1,1,17,1,5,1,52,2,-26.515556,29.992222
Russia,Ertil,48,1,1,1,38,1,0,1,48,1,51.8367188,40.7982804
Germany,Eschborn,62,2,1,1,62,2,0,1,57,2,50.1504737,8.5607767
Cameroon,Eseka,42,1,1,1,19,1,0,1,42,1,3.6412877,10.7741803
Brazil,Estreito,20,1,0,1,20,1,0,1,19,1,-6.5583016,-47.4432212
United States of America,Euless,73,2,2,1,37,1,4,1,73,2,32.8370727,-97.0819541
,Exmouth,37,1,1,1,29,1,1,1,37,1,-21.9324401,114.1258094
Sweden,Solna,34,1,1,1,34,1,0,1,16,1,59.901454,18.3453011
Portugal,Fafe,37,1,0,1,37,1,0,1,15,1,41.451406,-8.1708502
Colombia,Sonson,50,1,1,1,17,1,0,1,50,1,5.7106659,-75.3103532
Morocco,Fez,37,1,0,1,33,1,0,1,37,1,34.0346534,-5.0161926
Turkey,Sorgun,44,1,1,1,44,1,0,1,26,1,39.8098675,35.1854305
United States of America,Speedway,56,2,1,1,39,1,2,1,56,2,39.7881233,-86.2407144
United States of America,State College,54,2,1,1,40,1,1,1,54,2,40.7944504,-77.8616386
Tunisia,Subaytilah,68,2,1,1,47,1,0,1,68,2,35.195341,8.819481
,Gaeta,77,2,1,1,77,2,0,1,40,1,41.218312,13.56281
United Kingdom of Great Britain and Northern Ireland,Gainsborough,43,1,1,1,35,1,1,1,43,1,53.3995376,-0.7758801
Indonesia,Gamping,164,4,6,1,12,1,18,1,164,4,-7.7843142499999995,110.3322103289057
Germany,Ganderkesee,38,1,1,1,38,1,0,1,28,1,53.0344984,8.5451469
France,Gap,48,1,1,1,38,1,0,1,48,1,44.5612032,6.0820639
Brazil,Garca,62,2,1,1,24,1,0,1,62,2,-22.2125766,-49.6547994
Armenia,Gavar,84,2,1,1,36,1,0,1,84,2,40.3513976,45.1273162
Germany,Gengenbach,69,2,1,1,57,2,0,1,69,2,48.4035425,8.0153059
Germany,Gernsbach,66,2,1,1,60,2,0,1,66,2,48.7636394,8.3379924
India,Giddalur,98,2,2,1,33,1,4,1,98,2,15.3784042,78.9265231
Philippines,Davao,87,2,1,1,17,1,1,1,87,2,7.0648306,125.6080623
France,Dax,40,1,1,1,40,1,0,1,21,1,43.7084065,-1.0518771
Netherlands,Deventer,37,1,1,1,37,1,0,1,31,1,52.2532272,6.1584725
India,Dhamnod,159,4,2,1,18,1,5,1,159,4,23.4422855,74.9744674
Brazil,Dois Corregos,59,2,1,1,24,1,0,1,59,2,-22.3697554,-48.3845315
Romania,Draganesti Olt,49,1,1,1,49,1,0,1,41,1,44.1684732,24.5219723
Russia,Drezna,38,1,1,1,38,1,3,1,31,1,55.7448093,38.8491341
Republic of Moldova,Drochia,55,2,1,1,51,2,0,1,55,2,48.1128441,27.8095419
Venezuela (Bolivarian Republic of),El Tocuyo,39,1,1,1,21,1,0,1,39,1,9.78734,-69.7937
Germany,Emsdetten,43,1,1,1,40,1,0,1,43,1,52.174687,7.5301756
France,Compiegne,59,2,1,1,48,1,0,1,59,2,49.4179497,2.8263171
United States of America,Coram,65,2,2,1,39,1,9,1,65,2,40.8687097,-73.0014946
Italy,Correggio,67,2,1,1,67,2,0,1,66,2,44.770561,10.7797829
Turkey,Corum,43,1,1,1,43,1,0,1,25,1,40.5491496,34.9602453
United States of America,Council Bluffs,43,1,1,1,43,1,2,1,41,1,41.258841,-95.8519484
Brazil,Custodia,21,1,0,1,21,1,0,1,13,1,-8.0860251,-37.6400307
Azerbaijan,Saray,81,2,1,1,47,1,0,1,81,2,39.3115729,46.6321857
Germany,Schwelm,54,2,1,1,44,1,1,1,54,2,51.2841166,7.2924712
Brazil,Serrinha,23,1,0,1,23,1,0,1,19,1,-11.66199,-39.0034021
United States of America,Severn,48,1,1,1,44,1,3,1,48,1,39.1278864,-76.6869128
Italy,Imola,76,2,1,1,37,1,2,1,76,2,44.3535145,11.7141233
Japan,Inuyama,47,1,1,1,47,1,1,1,38,1,35.3609734,136.9845491
