country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
Russia,Boksitogorsk,29,1,1,1,29,1,0,1,9,1
France,Bruges,42,1,1,1,42,1,0,1,22,1
Argentina,Campana,54,2,1,1,23,1,4,1,54,2
United States of America,Canandaigua,43,1,1,1,33,1,1,1,43,1
Portugal,Canidelo,41,1,0,1,41,1,1,1,21,1
Italy,Caravaggio,86,2,1,1,58,2,0,1,86,2
Ireland,Carlow,50,1,1,1,42,1,0,1,50,1
India,Chitradurga,61,2,1,1,13,1,4,1,61,2
India,Palladam,50,1,0,1,25,1,0,1,50,1
Brazil,Pedra Branca,30,1,0,1,14,1,0,1,30,1
Guatemala,Morales,53,2,1,1,10,1,1,1,53,2
Germany,Langgons,29,1,0,1,29,1,1,1,28,1
Kazakhstan,Makat,35,1,1,1,35,1,0,1,34,1
United States of America,Mandan,47,1,1,1,17,1,8,1,47,1
Romania,Husi,68,2,1,1,44,1,0,1,68,2
Belgium,Huy,35,1,1,1,23,1,4,1,35,1
Brazil,Ipua,62,2,1,1,10,1,2,1,62,2
,Ischia,56,2,1,1,56,2,0,1,38,1
Jordan,Jawa,75,2,1,1,45,1,2,1,75,2
China,Jiaohe,66,2,2,1,52,2,0,1,66,2
Japan,Joetsu,39,1,1,1,39,1,0,1,29,1
India,Kaliyaganj,153,4,3,1,89,2,2,1,153,4
Hungary,Karcag,67,2,1,1,31,1,1,1,67,2
,Key West,28,1,0,1,27,1,0,1,28,1
Brazil,Guacui,44,1,1,1,12,1,2,1,44,1
Italy,Gubbio,57,2,1,1,38,1,3,1,57,2
,Haimen,193,4,4,1,193,4,4,1,124,3
United States of America,Hempstead,121,3,4,1,11,1,36,1,121,3
Switzerland,Freienbach,41,1,1,1,27,1,2,1,41,1
France,Fresnes,72,2,2,1,20,1,6,1,72,2
Afghanistan,Gazni,83,2,0,1,40,1,0,1,83,2
Germany,Geretsried,54,2,1,1,37,1,4,1,54,2
Viet Nam,Hue,61,2,3,1,33,1,0,1,61,2
India,Hukeri,62,2,0,1,22,1,0,1,62,2
Czechia,Decin,76,2,1,1,39,1,2,1,76,2
Germany,Eilenburg,67,2,1,1,38,1,3,1,67,2
Spain,Ferrol,28,1,1,1,27,1,2,1,28,1
Germany,Frechen,55,2,1,1,46,1,1,1,55,2
Spain,Gandia,38,1,1,1,38,1,0,1,19,1
Colombia,Neiva,43,1,1,1,5,1,1,1,43,1
Japan,Niihama,51,2,1,1,29,1,6,1,51,2
Romania,Odorheiu Secuiesc,53,2,1,1,43,1,0,1,53,2
India,Sonepur,155,4,2,1,49,1,1,1,155,4
United Kingdom of Great Britain and Northern Ireland,South Shields,43,1,1,1,38,1,0,1,43,1
Serbia,Sremska Mitrovica,65,2,1,1,65,2,0,1,58,2
Libya,Suluq,136,3,1,1,44,1,0,1,136,3
Niger,Tera,88,2,1,1,40,1,0,1,88,2
Russia,Teykovo,38,1,1,1,38,1,0,1,14,1
Japan,Tsukuba,70,2,1,1,24,1,15,1,70,2
United States of America,Turlock,46,1,1,1,28,1,5,1,46,1
Mexico,Tuxtla Gutierrez,69,2,1,1,29,1,1,1,69,2
Mexico,Tuxtla,47,1,1,1,20,1,1,1,47,1
Russia,Tynda,500,6,21,1,8,1,17,1,475,6
Brazil,Uniao,34,1,0,1,19,1,0,1,34,1
Russia,Tarki,56,2,1,1,42,1,0,1,56,2
Estonia,Tartu,35,1,1,1,35,1,0,1,17,1
India,Vandalur,99,2,2,1,39,1,3,1,99,2
Sweden,Vanersborg,39,1,1,1,39,1,0,1,11,1
France,Verrieres Le Buisson,72,2,1,1,44,1,2,1,72,2
United States of America,Kankakee,64,2,2,1,27,1,10,1,64,2
Albania,Kavaje,76,2,1,1,40,1,2,1,76,2
Estonia,Kohtla Jarve,35,1,1,1,35,1,0,1,19,1
Poland,Konstantynow Lodzki,49,1,1,1,31,1,2,1,49,1
United Republic of Tanzania,Kibondo,33,1,1,1,25,1,0,1,33,1
Uzbekistan,Kogon,65,2,1,1,34,1,4,1,65,2
United States of America,Kokomo,54,2,1,1,39,1,1,1,54,2
India,Kuttanallur,77,2,1,1,28,1,2,1,77,2
France,La Teste De Buch,41,1,1,1,41,1,0,1,18,1
China,Langxiang,76,2,2,1,36,1,1,1,76,2
